"filename", "language", "JavaScript", "Groovy", "Properties", "Batch", "XML", "C++", "Java", "Makefile", "JSON", "Objective-C", "Objective-C++", "Diff", "comment", "blank", "total"
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/app.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/babel.config.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 10
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 24, 110
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/Images.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/Images.xcassets/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 1, 48
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileApp/main.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/ios/DecodeMobileAppTests/DecodeMobileAppTests.m", "Objective-C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 14, 67
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/metro.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 18
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 1, 70
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/patches/@react-native-community+blur+3.6.0.patch", "Diff", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 4, 28
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/hooks/dataHooks.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/hooks/dataHooksTemplate.js", "JavaScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 86
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/hooks/layoutHooks.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/hooks/permissionHooks.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 76
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/hooks/pickerHooks.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 74
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/i18n.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 104
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/index.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/page/Home.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/swr/config.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 54
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/swr/helperHooks.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"/Users/xingyuli/Documents/work/GenX/DecodeMobileApp/src/swr/middlewares.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 7, 60
"Total", "-", 589, 209, 11, 68, 100, 166, 298, 28, 133, 61, 86, 24, 364, 327, 2464
